symbol,order_quantity
ABBV,13
PFE,42
MRK,19
AVGO,4
CSCO,43
BMY,26
VZ,54
TXN,12
UPS,11
PM,21
UNP,9
T,110
LMT,4
IBM,14
INTC,72
GILD,24
MDT,27
C,44
MO,45
DUK,21
MMM,16
SO,31
USB,47
TFC,45
F,152
KHC,32
FDX,7
KMB,9
PAYX,10
PRU,11
DOW,24
NEM,27
WBA,30
CMI,5
HPQ,43
FAST,24
GLW,37
LYB,14
TROW,10
EIX,19
FE,31
HBAN,81
HPE,80
BBY,14
AMCR,103
CFG,29
CAG,33
KEY,67
GRMN,13
OMC,15
IP,34
IPG,36
SWK,15
VFC,38
VTRS,111
BEN,47
SNA,5
PKG,9
STX,24
EMN,14
WHR,8
IVZ,66
PNW,16
HAS,20
OGN,50
LUMN,228
NWL,97
