,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,coinMarketCapLink,regularMarketPrice,preMarketPrice,logo_url,trailingPegRatio,address2
0,55144-1000,Industrials,95000,"3M Company operates as a diversified technology company worldwide. It operates through four segments: Safety and Industrial; Transportation and Electronics; Health Care; and Consumer. The Safety and Industrial segment offers industrial abrasives and finishing for metalworking applications; autobody repair solutions; closure systems for personal hygiene products, masking, and packaging materials; electrical products and materials for construction and maintenance, power distribution, and electrical original equipment manufacturers; structural adhesives and tapes; respiratory, hearing, eye, and fall protection solutions; and natural and color-coated mineral granules for shingles. The Transportation and Electronics segment provides ceramic solutions; attachment tapes, films, sound, and temperature management for transportation vehicles; premium large format graphic films for advertising and fleet signage; light management films and electronics assembly solutions; packaging and interconnection solutions; and reflective signage for highway, and vehicle safety. The Healthcare segment offers food safety indicator solutions; health care procedure coding and reimbursement software; skin, wound care, and infection prevention products and solutions; dentistry and orthodontia solutions; and filtration and purification systems. The Consumer segment provides consumer bandages, braces, supports and consumer respirators; cleaning products for the home; retail abrasives, paint accessories, car care DIY products, picture hanging, and consumer air quality solutions; and stationery products. It offers its products through e-commerce and traditional wholesalers, retailers, jobbers, distributors, and dealers. The company was founded in 1902 and is based in St. Paul, Minnesota.",Saint Paul,651 733 1110,MN,United States,[],https://www.3m.com,1,3M Center,Conglomerates,0.20048,0.18913999,0.44353,5673999872,-0.036,0.14645,6968999936,110,hold,16579000000,2674249984,125.0,129.04,1.763,1.561,0.06737,17,129.89,117.484,0.45931998,210,3588999936,16631000064,34761998336,6.493,USD,60.794,0.871,3.2,NYQ,3M Company,3M Company,America/New_York,EST,False,-18000000,EQUITY,MMM,finmb_289194,us_market,,2.429,,12.117,-0.26777506,,10.46,,552742976,,,,25.473,13765627,0.0249,,1640908800,0.68017,6575000064,11.46,1.49,-0.13514793,5.065756,0.00121,1703980800,,1664496000,4.6,1665705600,552145953,1.019586,84443947008,2,,1064880000,2:1,,1668643200,,1.691,2.051837,1668470400,31.35,,12.336519,,0.0249,14641662,0,,,128.0,128.88,136.39195,0.046484374,0.51919997,,129.82,,2433550,128.0,119.394,5.95,128.88,,2433550,,,5.96,1668643200,,,128.52,USD,11.260035,881460,,,,71325949952,,,7513831,128.52,128.83,900,881460,181.78,,3.29,107.07,129.09,False,0.0462,800,129.82,,129.04,,https://logo.clearbit.com/3m.com,2.3492,
1,53224-9508,Industrials,13700,"A. O. Smith Corporation manufactures and markets residential and commercial gas, heat pump and electric water heaters, boilers, tanks, and water treatment products in North America, China, Europe, and India. It operates through two segments, North America and Rest of World. The company offers water heaters for residences, restaurants, hotels and motels, office buildings, laundries, car washes, and small businesses; commercial boilers for hospitals, schools, hotels, and other large commercial buildings, as well as residential boilers for homes, apartments, and condominiums; and water treatment products comprising point-of-entry water softeners, well water solutions, and whole-home water filtration products, on-the-go filtration bottles, point-of-use carbon, and reverse osmosis products for residences, restaurants, hotels, and offices. It also provides food and beverage filtration products; expansion tanks, commercial solar water heating systems, swimming pool and spa heaters, and related products and parts; and heat pumps, electric wall-hung, gas tankless, combi-boiler, heat pump and solar water heaters. The company offers its products primarily under the A. O. Smith, State, Lochinvar, and water softener brands. It distributes its products through independent wholesale plumbing distributors, as well as through retail channels consisting of hardware and home center chains, and manufacturer representative firms; and offers Aquasana branded products directly to consumers through e-commerce, as well as other online retailers. A. O. Smith Corporation was founded in 1874 and is headquartered in Milwaukee, Wisconsin.",Milwaukee,414 359 4000,WI,United States,[],https://www.aosmith.com,1,11270 West Park Place,Specialty Industrial Machinery,0.18771,0.12991,0.35182,479000000,-0.044,0.16768,715800000,46,hold,1310900000,223700000,58.0,61.86,-0.134,1.742,0.12236,9,58.22,18.349,0.27188,67,417100000,320700000,3813299968,2.73,USD,24.383,1.089,2.7,NYQ,A.O. Smith Corporation,A. O. Smith Corporation,America/New_York,EST,False,-18000000,EQUITY,AOS,finmb_997111,us_market,,2.453,,13.068,-0.23497403,,3.21,,126870000,,,,11.44,5559685,0.0364,,1640908800,1.00075,495400000,3.14,0.3,-0.13514793,5.407343,0.0074,1703980800,,1664496000,4.39,1665705600,124655664,1.224882,9354294272,2,,1475712000,2:1,,1666915200,,-0.166,2.4783583,1668470400,2.5,,19.271029,,0.0502,6552722,0,,,61.53,61.69,59.52095,0.018202504,0.35669997,,62.11,,940110,61.53,53.534,1.12,61.69,,940110,,,1.2,1666915200,,,61.48,USD,19.700636,290790,,,,9450723328,,,1197566,61.48,63.0,800,290790,86.74,,1.64,46.58,60.25,False,0.0194,2200,62.11,,61.86,,https://logo.clearbit.com/aosmith.com,1.8932,Suite 170 PO Box 245008
2,60064-6400,Healthcare,113000,"Abbott Laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Established Pharmaceutical Products segment provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, Ménière's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. The Diagnostic Products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detect and measure infectious agents; point of care systems; cartridges for testing blood; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. The Nutritional Products segment provides pediatric and adult nutritional products. The Medical Devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; and diabetes care products, as well as neuromodulation devices for the management of chronic pain and movement disorders. Abbott Laboratories was founded in 1888 and is based in North Chicago, Illinois.",North Chicago,224 667 6100,IL,United States,[],https://www.abbott.com,1,100 Abbott Park Road,Medical Devices,0.30398,0.17518999,0.58163,10321999872,-0.047,0.22974001,13688000512,90,buy,25009000000,7563250176,115.5,106.96,-0.308,1.859,0.08821,22,116.38,46.204,0.22373,144,9907000320,16579999744,45029998592,5.682,USD,25.592,1.221,2.1,NYQ,Abbott Laboratories,Abbott Laboratories,America/New_York,EST,False,-18000000,EQUITY,ABT,finmb_247483,us_market,,4.294,,14.127,-0.16457081,,4.38,,1743570048,,,,20.461,15649357,0.009,,1640908800,0.76176,7856999936,4.43,0.47,-0.13514793,5.2275057,0.0073400005,1703980800,,1664496000,2.16,1665705600,1730427231,0.691331,193374650368,2,,1357084800,10000:4798,,1665619200,,-0.317,4.1415114,1668470400,2.45,,24.42009,,0.0092,13990293,0,,,106.02,106.67,109.98445,0.017732503,0.41990003,,107.349,,4442500,106.02,100.8782,1.88,106.67,,4442500,,,1.88,1665619200,,,106.505,USD,24.14447,2440511,,,,186492256256,,,5933415,106.505,107.0,1100,2440511,142.6,,1.54,93.25,106.51,False,0.0176,900,107.349,,106.96,,https://logo.clearbit.com/abbott.com,17.8801,Abbott Park
