symbol,order_quantity
ABBV,13
PFE,43
MRK,18
AVGO,3
CSCO,42
BMY,28
VZ,50
TXN,11
UPS,11
PM,20
UNP,9
T,107
LMT,4
IBM,14
INTC,69
GILD,24
MDT,26
C,42
MO,46
DUK,20
MMM,16
SO,29
USB,44
TFC,44
F,165
KHC,29
FDX,6
KMB,9
PAYX,10
PRU,12
DOW,21
NEM,22
WBA,33
CMI,4
HPQ,44
FAST,25
GLW,34
LYB,13
TROW,10
EIX,18
FE,29
HBAN,85
HPE,75
BBY,14
AMCR,103
CFG,29
CAG,31
KEY,68
GRMN,12
OMC,14
IP,32
IPG,34
SWK,14
VFC,40
VTRS,108
BEN,41
SNA,5
PKG,9
STX,21
EMN,13
WHR,8
IVZ,64
PNW,16
HAS,18
OGN,38
LUMN,211
NWL,81
