symbol,order_quantity
ABBV,13
PFE,44
MRK,18
BMY,26
VZ,50
UPS,11
PM,19
AMGN,7
UNP,9
T,104
LMT,4
GILD,24
MDT,24
C,39
MO,44
DUK,19
ITW,8
MMM,16
SO,29
USB,43
TFC,41
CCI,13
F,161
D,32
KHC,50
FDX,6
KMB,8
PAYX,9
PRU,11
SPG,9
DOW,20
NEM,21
WBA,32
CMI,4
FAST,23
LYB,12
TROW,9
IFF,10
EIX,17
FE,27
HBAN,82
VICI,34
BBY,14
AMCR,97
CFG,28
CAG,30
KEY,66
OMC,13
IRM,22
IP,30
PEAK,43
IPG,32
SWK,13
VFC,39
VTRS,100
BEN,38
SNA,4
PKG,8
EMN,12
BXP,16
WHR,7
IVZ,61
AAP,7
PNW,15
HAS,18
OGN,37
LUMN,222
NWL,77
