symbol,order_quantity
ABBV,14
PFE,47
MRK,19
AVGO,3
CSCO,43
BMY,28
TXN,11
VZ,51
UPS,11
PM,20
UNP,10
T,105
LMT,4
IBM,15
INTC,74
GILD,25
MDT,25
C,40
MO,47
DUK,20
MMM,18
SO,30
USB,42
TFC,42
F,158
KHC,32
FDX,6
KMB,9
PAYX,11
PRU,12
DOW,21
NEM,24
WBA,34
CMI,5
HPQ,43
FAST,25
GLW,34
LYB,13
TROW,11
EIX,18
FE,31
HBAN,85
HPE,79
BBY,15
AMCR,107
CFG,29
CAG,35
KEY,67
GRMN,12
OMC,15
IP,33
SWK,14
VFC,42
VTRS,107
BEN,41
SNA,5
PKG,9
STX,18
EMN,14
WHR,8
IVZ,69
PNW,17
HAS,21
OGN,42
LUMN,242
NWL,80
