symbol,order_quantity
ABBV,14
PFE,46
MRK,19
AVGO,3
CSCO,44
BMY,28
VZ,52
TXN,12
UPS,11
PM,20
UNP,10
T,109
LMT,4
IBM,14
INTC,71
GILD,25
MDT,25
C,41
MO,46
DUK,20
MMM,17
SO,31
USB,45
TFC,43
F,169
KHC,31
FDX,6
KMB,9
PAYX,10
PRU,12
DOW,21
NEM,23
WBA,34
CMI,5
HPQ,44
FAST,25
GLW,34
LYB,13
TROW,10
EIX,18
FE,29
HBAN,88
HPE,78
BBY,15
AMCR,105
CFG,30
CAG,32
KEY,71
GRMN,12
OMC,14
IP,33
IPG,34
SWK,14
VFC,42
VTRS,107
BEN,41
SNA,5
PKG,9
STX,21
EMN,13
WHR,8
IVZ,65
PNW,16
HAS,19
OGN,39
LUMN,239
NWL,83
